AP,,,CP,,,FC,,,CC,,,NEW #1,,,NEW #2,,,,,
Kosher Sea Salt,0.463,lbs,,0.463,lbs,,0.463,lbs,,0.463,lbs,,,lbs,,,lbs,,,,
Organic Honey,0.062,lbs,,0.062,lbs,,0.062,lbs,,0.062,lbs,,,lbs,,,lbs,,,,
Organic Coconut Oil,0.551,lbs,,0.551,lbs,,0.551,lbs,,0.551,lbs,,,lbs,,,lbs,,,,
RPS- Conventional roasted split peanuts,99.998,lbs,,99.998,lbs,,99.998,lbs,,99.998,lbs,,,lbs,,,lbs,,,,
Pecans - Large Pieces,0.000,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
"Pepitas, Dry Roasted",6.000,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Dry Roasted Mission Type Almonds,0.000,lbs,,0.000,lbs,,6.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Organic Cashew Kernels LWP,0.000,lbs,,0.000,lbs,,0.000,lbs,,6.000,lbs,,,lbs,,,lbs,,,,
Chicory Root Fiber (Inulin),2.050,lbs,,2.050,lbs,,2.050,lbs,,2.050,lbs,,,lbs,,,lbs,,,,
Organic Quinoa Crisps,1.764,lbs,,1.764,lbs,,1.764,lbs,,1.764,lbs,,,lbs,,,lbs,,,,
Organic Quinoa Flakes,3.307,lbs,,3.307,lbs,,3.307,lbs,,3.307,lbs,,,lbs,,,lbs,,,,
"Oats, Old-Fashioned GF",1.764,lbs,,1.764,lbs,,1.764,lbs,,1.764,lbs,,,lbs,,,lbs,,,,
Pea Protein Powder,3.638,lbs,,3.638,lbs,,3.638,lbs,,3.638,lbs,,,lbs,,,lbs,,,,
Kosher Sea Salt,0.408,lbs,,0.408,lbs,,0.408,lbs,,0.408,lbs,,,lbs,,,lbs,,,,
Organic Honey,7.914,lbs,,7.914,lbs,,7.914,lbs,,7.914,lbs,,,lbs,,,lbs,,,,
"Pepitas, Dry Roasted",1.874,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Pecans - Large Pieces,0.000,lbs,,1.874,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Turkish Apricot Diced-Unsulphured 8-10mm,3.880,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Dried Diced Tart Montmorency Cherries,0.000,lbs,,3.351,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
"Cocoa Nibs, Bulk",0.000,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
TCHO Chocolate - 81% Drops,0.000,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Chai Spice Mix - No Sugar,0.000,lbs,,0.000,lbs,,0.496,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Dry Roasted Mission Type Almonds,0.000,lbs,,0.000,lbs,,1.433,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Turkish Diced Figs 8x8mm,0.000,lbs,,0.000,lbs,,4.409,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
Organic Cashew Kernels LWP,0.000,lbs,,0.000,lbs,,0.000,lbs,,1.543,lbs,,,lbs,,,lbs,,,,
Dried Diced Cranberries,0.000,lbs,,0.000,lbs,,0.000,lbs,,4.189,lbs,,,lbs,,,lbs,,,,
Unsweetened Coconut Chips,0.000,lbs,,0.000,lbs,,0.000,lbs,,0.000,lbs,,,lbs,,,lbs,,,,
"Vanilla Powder, Bulk",0.104,lbs,,0.104,lbs,,0.000,lbs,,0.104,lbs,,,lbs,,,lbs,,,,
Michele's Granola,3.307,lbs,,3.307,lbs,,3.307,lbs,,3.307,lbs,,,lbs,,,lbs,,,,
"Chocolate Morsels, Bulk",,lbs,,1.03617,lbs,,,lbs,,,lbs,,,lbs,,,lbs,,,,
Total Weight in lbs,47.85,,,47.36,,,48.34,,,47.83,,,0.00,,,0.00,,,,,
Total Weight in grams,21706.85,,,21483.26,,,21924.85,,,21696.85,,,0.00,,,0.00,,,,,
Bars,361,,,358,,,365,,,361,,,0,,,0,,,,,
Cases,30,,,29,,,30,,,30,,,0,,,0,,,,,