sku,Level One
NB-ALM-13OZ-1PACK,"[('NB-ALM-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158151CF', 1)]"
NB-CASH-13OZ-1PACK,"[('NB-CASH-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('CASH 1PACK label missing', 1)]"
NB-CHAI-13OZ-1PACK,"[('NB-CHAI-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157272CF', 1)]"
NB-CSS-13OZ-1PACK,"[('NB-CSS-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT159032CF', 1)]"
NB-FGIN-13OZ-1PACK,"[('NB-FGIN-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157276CF', 1)]"
NB-GGET-13OZ-1PACK,"[('NB-GGET-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT159029CF', 1)]"
NB-MAMBA-13OZ-1PACK,"[('NB-MAMBA-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158147CF', 1)]"
NB-MPC-13OZ-1PACK,"[('NB-MPC-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157274CF', 1)]"
NB-PNUT-13OZ-1PACK,"[('NB-PNUT-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157270CF', 1)]"
NB-PPEC-13OZ-1PACK,"[('NB-PPEC-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158149CF', 1)]"
NB-TCO-13OZ-1PACK,"[('NB-TCO-13OZ', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158153CF', 1)]"
NB-ALM-13OZ-2PACK,"[('NB-ALM-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158152CF', 1)]"
NB-CASH-13OZ-2PACK,"[('NB-CASH-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('CASH 2PACK label missing', 1)]"
NB-CHAI-13OZ-2PACK,"[('NB-CHAI-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157273CF', 1)]"
NB-CSS-13OZ-2PACK,"[('NB-CSS-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT159033CF', 1)]"
NB-FGIN-13OZ-2PACK,"[('NB-FGIN-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157277CF', 1)]"
NB-GGET-13OZ-2PACK,"[('NB-GGET-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT159030CF', 1)]"
NB-MAMBA-13OZ-2PACK,"[('NB-MAMBA-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158148CF', 1)]"
NB-MPC-13OZ-2PACK,"[('NB-MPC-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157275CF', 1)]"
NB-PNUT-13OZ-2PACK,"[('NB-PNUT-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT157271CF', 1)]"
NB-PPEC-13OZ-2PACK,"[('NB-PPEC-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158150CF', 1)]"
NB-TCO-13OZ-2PACK,"[('NB-TCO-13OZ', 2), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1), ('WT158154CF', 1)]"
NB-ALM-130Z-SAMPLE,"[('NB-ALM-13OZ', 1)]"
NB-CASH-13OZ-SAMPLE,"[('NB-CASH-13OZ', 1)]"
NB-CHAI-13OZ-SAMPLE,"[('NB-CHAI-13OZ', 1)]"
NB-CSS-13OZ-SAMPLE,"[('NB-CSS-13OZ', 1)]"
NB-FGIN-13OZ-SAMPLE,"[('NB-FGIN-13OZ', 1)]"
NB-GGET-13OZ-SAMPLE,"[('NB-GGET-13OZ', 1)]"
NB-MAMBA-13OZ-SAMPLE,"[('NB-MAMBA-13OZ', 1)]"
NB-MPC-13OZ-SAMPLE,"[('NB-MPC-13OZ', 1)]"
NB-PNUT-13OZ-SAMPLE,"[('NB-PNUT-13OZ', 1)]"
NB-PPEC-13OZ-SAMPLE,"[('NB-PPEC-13OZ', 1)]"
NB-TCO-13OZ-SAMPLE,"[('NB-TCO-13OZ', 1)]"
NB-ALM-13OZ-1PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-13OZ-1PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-13OZ-1PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-13OZ-1PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-FGIN-13OZ-1PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-GGET-13OZ-1PACK-GIFT,"[('NB-GGET-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-MAMBA-13OZ-1PACK-GIFT,"[('NB-MAMBA-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-MPC-13OZ-1PACK-GIFT,"[('NB-MPC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-PNUT-13OZ-1PACK-GIFT,"[('NB-PNUT-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-PPEC-13OZ-1PACK-GIFT,"[('NB-PPEC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-TCO-13OZ-1PACK-GIFT,"[('NB-TCO-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-FGIN-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-GGET-13OZ-2PACK-GIFT,"[('NB-GGET-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-MAMBA-13OZ-2PACK-GIFT,"[('NB-MAMBA-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-MPC-13OZ-2PACK-GIFT,"[('NB-MPC-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-PNUT-13OZ-2PACK-GIFT,"[('NB-PNUT-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-PPEC-13OZ-2PACK-GIFT,"[('NB-PPEC-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-TCO-13OZ-2PACK-GIFT,"[('NB-TCO-13OZ', 2), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-CASH-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-CASH-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-CHAI-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-CHAI-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-CSS-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-CSS-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-FGIN-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-FGIN-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-MAMBA-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-MAMBA-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-MPC-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-MPC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-PNUT-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-PNUT-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-PPEC-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-PPEC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-ALM-TCO-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-TCO-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-CHAI-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-CHAI-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-CSS-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-CSS-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-FGIN-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-FGIN-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-MAMBA-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-MAMBA-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-MPC-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-MPC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-PNUT-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-PNUT-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-PPEC-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-PPEC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CASH-TCO-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-TCO-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-CSS-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-CSS-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-FGIN-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-FGIN-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-MAMBA-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-MAMBA-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-MPC-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-MPC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-PNUT-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-PNUT-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-PPEC-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-PPEC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CHAI-TCO-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-TCO-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-FGIN-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-FGIN-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-MAMBA-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-MAMBA-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-MPC-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-MPC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-PNUT-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-PNUT-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-PPEC-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-PPEC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-CSS-TCO-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-TCO-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-FGIN-MAMBA-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-MAMBA-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-FGIN-MPC-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-MPC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-FGIN-PNUT-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-PNUT-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
NB-FGIN-PPEC-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-PPEC-13OZ', 1), ('NB-LABEL-GIFT4U', 1), ('PKG-BOX-2PK-4PK', 1), ('S-13166', 1)]"
