sku,qty
ALPET-16OZ-BOTTLE,5.0
B-ACO-4LB-INACTIVE,9.0
B-ACO-8LB-INACTIVE,5.0
B-ACT-4LB-INACTIVE,4.0
B-ACT-8LB-INACTIVE,18.0
B-AGIN-4LB-INACTIVE,84.0
B-AGIN-8LB-INACTIVE,16.0
B-ALM-4LB-INACTIVE,43.0
B-ALM-8LB-INACTIVE,74.0
B-ALM-WFM-1GAL-INACTIVE,463.0
B-CASH-4LB-INACTIVE,6.0
B-CHAI-4LB-INACTIVE,6.0
B-CHAI-8LB-INACTIVE,7.0
B-ESP-4LB-INACTIVE,2.0
B-ESP-8LB-INACTIVE,3.0
B-HOTP-4LB-INACTIVE,2.0
B-HOTP-8LB-INACTIVE,1.0
B-MPC-4LB-INACTIVE,17.0
B-MPC-8LB-INACTIVE,4.0
B-PCASH-4LB,9.0
B-PCASH-8LB,4.0
B-PCO-8LB,6.0
B-PNUT-1LB-INACTIVE,205.0
B-PNUT-4LB-INACTIVE,135.0
B-PNUT-8LB-INACTIVE,253.0
B-PNUT-ONLY-INACTIVE,1675.0
B-PPEC-4LB-INACTIVE,16.0
B-PPEC-8LB-INACTIVE,8.0
BAR-AP-CASE,1829.0
BAR-AP-MASTERCASE,14.0
BAR-AP-SCRAP,107.39
BAR-AP-SINGLE,64.0
BAR-AP-SINGLE-SAMPLE,3.0
BAR-BUTTER-PALM,0.5875
BAR-BUTTER-PPEC,0.725
BAR-CC-CASE,1656.0
BAR-CC-MASTERCASE,11.0
BAR-CC-SCRAP,86.27000000000001
BAR-CC-SINGLE,131.0
BAR-CC-SINGLE-SAMPLE,4.0
BAR-CC-SUBSCR,1.0
BAR-CP-CASE,2989.0
BAR-CP-MASTERCASE,22.0
BAR-CP-SCRAP,201.1
BAR-CP-SINGLE,85.0
BAR-CP-SINGLE-SAMPLE,5.0
BAR-CP-SUBSCR,5.0
BAR-FC-CASE,1725.0
BAR-FC-MASTERCASE,9.0
BAR-FC-SCRAP,86.73
BAR-FC-SINGLE,139.0
BAR-FC-SINGLE-SAMPLE,4.0
BAR-FC-SUBSCR,2.0
BAR-VP-CASE,2064.0
BAR-VP-GIFT,17.0
BAR-VP-SUBSCR,8.0
BOX-2PK-JCB-INACTIVE,24.0
DELIVERY-LOCAL,2.0
MERCH-BSR-10OZ-JAR,21.0
MERCH-CYL-CAP,1.0
MERCH-GCARD-10,1.0
MERCH-GCARD-25,1.0
MERCH-JAM-BLENAPRICOT,143.0
MERCH-JAM-DEC19,16.0
MERCH-JAM-FEB20,66.0
MERCH-JAM-FIDDLEHEAD,13.0
MERCH-JAM-FLAVPLUMCOT,120.0
MERCH-JAM-JAN20,48.0
MERCH-JAM-MAR20,57.0
MERCH-JAM-OCT19,104.0
MERCH-JAM-PEARGINGER,120.0
MERCH-SILV-SPOON,6.0
MERCH-T-PNUT-U-M,2.0
MERCH-T-PNUT-W-L,2.0
MERCH-T-PNUT-W-M,5.0
MERCH-T-PNUT-W-S,1.0
MERCH-T-PNUT-W-XL,2.0
MERCH-T-SPOONS-U-L,5.0
MERCH-T-SPOONS-U-M,10.0
MERCH-T-SPOONS-U-S,2.0
MERCH-T-SPOONS-U-XL,1.0
MERCH-T-SPOONS-W-L,2.0
MERCH-T-SPOONS-W-M,2.0
MERCH-T-SPOONS-W-S,5.0
MKT-SIGN-ABOUTUS,1.0
MKT-SIGN-BARS,273.0
MKT-SIGN-BIGPRAISE,10.0
MKT-SIGN-BUTTERS,231.0
MKT-SIGN-LOGO-TIN,70.0
MKT-STICKERS-LOGO,17.0
NB-3OZ-4PACK,461.0
NB-3OZ-4PACK-AB,111.0
NB-3OZ-4PACK-AB-GIFT,16.0
NB-3OZ-4PACK-GIFT,65.0
NB-ABJ-DEC19,3.0
NB-ABJ-FEB20,42.0
NB-ABJ-FEB20-GIFT,6.0
NB-ABJ-JAN20,42.0
NB-ABJ-JAN20-GIFT,11.0
NB-ABJ-MAR20,34.0
NB-ABJ-MAR20-GIFT,9.0
NB-ABJ-SUBSCR-DEC19,4.0
NB-ABJ-SUBSCR-FEB20,11.0
NB-ABJ-SUBSCR-JAN20,11.0
NB-ABJ-SUBSCR-MAR20,7.0
NB-ABJ-SUBSCR-NOV19,1.0
NB-ALM-130Z-SAMPLE,39.0
NB-ALM-13OZ,3445.0
NB-ALM-13OZ-1PACK,150.0
NB-ALM-13OZ-1PACK-GIFT,1.0
NB-ALM-13OZ-2PACK,30.0
NB-ALM-13OZ-2PACK-GIFT,2.0
NB-ALM-13OZ-CASE,19.0
NB-ALM-3OZ,1.0
NB-ALM-3OZ-CASE,1.0
NB-ALM-4LB,12.0
NB-ALM-8LB,32.0
NB-ALM-CASH-13OZ-2PACK-GIFT,1.0
NB-ALM-CHAI-13OZ-2PACK-GIFT,2.0
NB-ALM-CSS-13OZ-2PACK-GIFT,1.0
NB-ALM-FGIN-13OZ-2PACK-GIFT,1.0
NB-ALM-MPC-13OZ-2PACK-GIFT,3.0
NB-ALM-PPEC-13OZ-2PACK-GIFT,1.0
NB-ALM-SCRAP,19.2
NB-ALM-SUBSCR,15.0
NB-ALM-TRANS-JAR,5.0
NB-CASH-13OZ,1874.0
NB-CASH-13OZ-CASE,1.0
NB-CASH-13OZ-SAMPLE,21.0
NB-CASH-4LB,42.0
NB-CASH-8LB,4.0
NB-CASH-FGIN-13OZ-2PACK-GIFT,1.0
NB-CASH-MPC-13OZ-2PACK-GIFT,1.0
NB-CASH-PPEC-13OZ-2PACK-GIFT,1.0
NB-CASH-SCRAP,13.1
NB-CASH-TCO-13OZ-2PACK-GIFT,1.0
NB-CASH-TRANS-JAR,1.0
NB-CHAI-13OZ,5968.0
NB-CHAI-13OZ-1PACK,425.0
NB-CHAI-13OZ-1PACK-GIFT,2.0
NB-CHAI-13OZ-2PACK,150.0
NB-CHAI-13OZ-CASE,11.0
NB-CHAI-13OZ-SAMPLE,57.0
NB-CHAI-3OZ,544.0
NB-CHAI-3OZ-CASE,3.0
NB-CHAI-3OZ-SAMPLE,5.0
NB-CHAI-8LB,5.0
NB-CHAI-CSS-13OZ-2PACK-GIFT,6.0
NB-CHAI-FGIN-13OZ-2PACK-GIFT,5.0
NB-CHAI-MAMBA-13OZ-2PACK-GIFT,1.0
NB-CHAI-MPC-13OZ-2PACK-GIFT,2.0
NB-CHAI-PNUT-13OZ-2PACK-GIFT,2.0
NB-CHAI-PPEC-13OZ-2PACK-GIFT,2.0
NB-CHAI-SCRAP,49.1
NB-CHAI-SUBSCR,4.0
NB-CHAI-TCO-13OZ-2PACK-GIFT,2.0
NB-CHAI-TRANS-JAR,5.0
NB-CSS-13OZ,5905.0
NB-CSS-13OZ-1PACK,225.0
NB-CSS-13OZ-1PACK-GIFT,3.0
NB-CSS-13OZ-2PACK,45.0
NB-CSS-13OZ-2PACK-GIFT,1.0
NB-CSS-13OZ-CASE,8.0
NB-CSS-13OZ-SAMPLE,22.0
NB-CSS-3OZ,25.0
NB-CSS-3OZ-CASE,1.0
NB-CSS-4LB,3.0
NB-CSS-8LB,3.0
NB-CSS-FGIN-13OZ-2PACK-GIFT,18.0
NB-CSS-MAMBA-13OZ-2PACK-GIFT,6.0
NB-CSS-MPC-13OZ-2PACK-GIFT,7.0
NB-CSS-PNUT-13OZ-2PACK-GIFT,3.0
NB-CSS-PPEC-13OZ-2PACK-GIFT,4.0
NB-CSS-SCRAP,0.81875
NB-CSS-TCO-13OZ-2PACK-GIFT,3.0
NB-FGIN-13OZ,6085.0
NB-FGIN-13OZ-1PACK,250.0
NB-FGIN-13OZ-1PACK-GIFT,2.0
NB-FGIN-13OZ-2PACK,120.0
NB-FGIN-13OZ-CASE,17.0
NB-FGIN-13OZ-SAMPLE,37.0
NB-FGIN-3OZ,231.0
NB-FGIN-3OZ-CASE,6.0
NB-FGIN-3OZ-SAMPLE,22.0
NB-FGIN-4LB,24.0
NB-FGIN-8LB,4.0
NB-FGIN-MAMBA-13OZ-2PACK-GIFT,1.0
NB-FGIN-MPC-13OZ-2PACK-GIFT,4.0
NB-FGIN-SCRAP,25.3
NB-FGIN-SUBSCR,6.0
NB-FGIN-TCO-13OZ-2PACK-GIFT,2.0
NB-FGIN-TRANS-JAR,3.0
NB-GGET-13OZ,1536.0
NB-GGET-13OZ-1PACK,250.0
NB-GGET-13OZ-1PACK-GIFT,7.0
NB-GGET-13OZ-2PACK,75.0
NB-GGET-13OZ-CASE,4.0
NB-GGET-13OZ-SAMPLE,11.0
NB-GGET-8LB,1.0
NB-GGET-SCRAP,13.36875
NB-GGET-SUBSCR,4.0
NB-GGET-TRANS-JAR,2.0
NB-JUSTALM-8LB,124.0
NB-JUSTPNUT-1LB,17.0
NB-LCASH-TRANS-JAR,1.0
NB-LTD-CCCG-10OZ,53.0
NB-LTD-LCASH-10OZ,1053.0
NB-LTD-LCASH-SCRAP,8.5
NB-LTD-PEP-10OZ,1.0
NB-MAMBA-13OZ,856.0
NB-MAMBA-13OZ-1PACK,175.0
NB-MAMBA-13OZ-1PACK-GIFT,2.0
NB-MAMBA-13OZ-2PACK,30.0
NB-MAMBA-13OZ-CASE,4.0
NB-MAMBA-13OZ-SAMPLE,9.0
NB-MAMBA-MPC-130Z-2PACK-GIFT,1.0
NB-MAMBA-PNUT-130Z-2PACK-GIFT,1.0
NB-MAMBA-PPEC-130Z-2PACK-GIFT,1.0
NB-MAMBA-TCO-130Z-2PACK-GIFT,1.0
NB-MPC-13OZ,3786.0
NB-MPC-13OZ-1PACK,375.0
NB-MPC-13OZ-1PACK-GIFT,4.0
NB-MPC-13OZ-2PACK,90.0
NB-MPC-13OZ-CASE,9.0
NB-MPC-13OZ-SAMPLE,28.0
NB-MPC-3OZ,506.0
NB-MPC-3OZ-SAMPLE,28.0
NB-MPC-4LB,14.0
NB-MPC-8LB,4.0
NB-MPC-SCRAP,3.1
NB-MPC-SUBSCR,2.0
NB-MPC-TCO-130Z-2PACK-GIFT,2.0
NB-MPC-TRANS-JAR,1.0
NB-PALM-10OZ,1.0
NB-PBJ-DEC19,1.0
NB-PBJ-DEC19-GIFT,3.0
NB-PBJ-FEB20,38.0
NB-PBJ-FEB20-GIFT,10.0
NB-PBJ-JAN20,31.0
NB-PBJ-JAN20-GIFT,12.0
NB-PBJ-MAR20,48.0
NB-PBJ-MAR20-GIFT,5.0
NB-PBJ-SUBSCR-DEC19,12.0
NB-PBJ-SUBSCR-FEB20,24.0
NB-PBJ-SUBSCR-JAN20,24.0
NB-PBJ-SUBSCR-MAR20,18.0
NB-PCASH-10OZ-1,172.0
NB-PCO-10OZ-1,105.0
NB-PCO-10OZ-CASE,4.0
NB-PNUT-13OZ,4044.0
NB-PNUT-13OZ-1PACK,250.0
NB-PNUT-13OZ-1PACK-GIFT,1.0
NB-PNUT-13OZ-2PACK,120.0
NB-PNUT-13OZ-CASE,15.0
NB-PNUT-13OZ-SAMPLE,31.0
NB-PNUT-3OZ,330.0
NB-PNUT-3OZ-CASE,5.0
NB-PNUT-3OZ-SAMPLE,18.0
NB-PNUT-4LB,65.0
NB-PNUT-8LB,99.0
NB-PNUT-PPEC-130Z-2PACK-GIFT,1.0
NB-PNUT-SCRAP,53.6
NB-PNUT-SUBSCR,27.0
NB-PNUT-TRANS-JAR,5.0
NB-PPEC-13OZ,5325.0
NB-PPEC-13OZ-1PACK,175.0
NB-PPEC-13OZ-2PACK,45.0
NB-PPEC-13OZ-CASE,6.0
NB-PPEC-13OZ-SAMPLE,16.0
NB-PPEC-4LB,5.0
NB-PPEC-SCRAP,17.04375
NB-PPEC-TCO-130Z-2PACK-GIFT,2.0
NB-PPEC-TRANS-JAR,3.0
NB-RSTR-SUBSCR-DEC19,16.0
NB-RSTR-SUBSCR-FEB20,36.0
NB-RSTR-SUBSCR-JAN20,39.0
NB-RSTR-SUBSCR-MAR20,28.0
NB-RSTR-SUBSCR-NOV19,2.0
NB-TCO-13OZ,5953.0
NB-TCO-13OZ-1PACK,500.0
NB-TCO-13OZ-1PACK-GIFT,3.0
NB-TCO-13OZ-2PACK,45.0
NB-TCO-13OZ-CASE,7.0
NB-TCO-13OZ-SAMPLE,24.0
NB-TCO-3OZ,15.0
NB-TCO-3OZ-CASE,4.0
NB-TCO-4LB,6.0
NB-TCO-8LB,6.0
NB-TCO-SUBSCR,6.0
NB-TCO-TRANS-JAR,1.0
NB-TRIO-FW19,117.0
NB-TWALK-10OZ,286.0
NB-WAG-13OZ,251.0
NB-WHOOPS-ESP-13OZ,37.0
PKG-BOX-2PK-4PK,500.0
SHIPPING,38.0
TP-SINGLE,17.0
W-3OZ-VP-NB-INACTIVE,121.0
W-70-AP,8724.0
W-70-CP,10884.0
W-ACO-10OZ-INACTIVE,1806.0
W-ACO-13OZ-INACTIVE,2802.0
W-ACT-10OZ-INACTIVE,2862.0
W-ACT-13OZ-INACTIVE,2634.0
W-AGIN-10OZ-INACTIVE,12474.0
W-AGIN-13OZ-INACTIVE,3198.0
W-AGIN-3OZ-INACTIVE,108.0
W-ALM-10OZ-INACTIVE,12102.0
W-ALM-13OZ-INACTIVE,1638.0
W-AMZN-ACO-13OZ -2PAK-INACTIVE,24.0
W-AMZN-ACO-13OZ-INACTIVE,48.0
W-AMZN-ACT-13OZ -2PAK-INACTIVE,24.0
W-AMZN-ACT-13OZ-INACTIVE,118.0
W-AMZN-AGIN-13OZ -2PAK-INACTIVE,24.0
W-AMZN-AGIN-13OZ-INACTIVE,68.0
W-AMZN-ALM-13OZ -2PAK-INACTIVE,18.0
W-AMZN-ALM-13OZ-INACTIVE,38.0
W-AMZN-CHAI-13OZ -2PAK-INACTIVE,20.0
W-AMZN-CHAI-13OZ-INACTIVE,98.0
W-AMZN-ESP-13OZ -2PAK-INACTIVE,12.0
W-AMZN-ESP-13OZ-INACTIVE,24.0
W-AMZN-HOT-13OZ -2PAK-INACTIVE,12.0
W-AMZN-HOT-13OZ-INACTIVE,24.0
W-AMZN-MPC-13OZ -2PAK-INACTIVE,28.0
W-AMZN-MPC-13OZ-INACTIVE,148.0
W-AMZN-PNUT-13OZ -2PAK-INACTIVE,18.0
W-AMZN-PNUT-13OZ-INACTIVE,51.0
W-AMZN-PPEC-13OZ -2PAK-INACTIVE,12.0
W-AMZN-PPEC-13OZ-INACTIVE,54.0
W-CASE-AP-INACTIVE,4474.0
W-CASE-CC-INACTIVE,4249.0
W-CASE-CP-INACTIVE,5568.0
W-CASE-FC-INACTIVE,4567.0
W-CASH-13OZ-INACTIVE,810.0
W-CHAI-10OZ-INACTIVE,11340.0
W-CHAI-13OZ-INACTIVE,3252.0
W-CHAI-3OZ-INACTIVE,468.0
W-DISTCASE-AP-INACTIVE,38.0
W-DISTCASE-CC-INACTIVE,22.0
W-DISTCASE-CP-INACTIVE,39.0
W-DISTCASE-FC-INACTIVE,22.0
W-ESP-10OZ-INACTIVE,5976.0
W-ESP-13OZ-INACTIVE,990.0
W-HOT-13OZ-INACTIVE,408.0
W-HOTP-10OZ-INACTIVE,5100.0
W-JCB-PNT,12.0
W-LTD-PEP-10OZ-INACTIVE,24.0
W-MPC-10OZ-INACTIVE,4698.0
W-MPC-13OZ-INACTIVE,1506.0
W-MPC-3OZ-INACTIVE,96.0
W-NB-AP-INACTIVE,15012.0
W-NB-CC-INACTIVE,11700.0
W-NB-CP-INACTIVE,19068.0
W-NB-FC-INACTIVE,10704.0
W-NB-VP-INACTIVE,1335.0
W-PA-10OZ-INACTIVE,486.0
W-PCASH-10OZ-INACTIVE,2394.0
W-PCO-10OZ-INACTIVE,8251.0
W-PNUT-10OZ-INACTIVE,11526.0
W-PNUT-13OZ-INACTIVE,1968.0
W-PNUT-3OZ-INACTIVE,960.0
W-PPEC-10OZ-INACTIVE,6258.0
W-PPEC-13OZ-INACTIVE,2580.0
W-PPEC-3OZ-INACTIVE,24.0
W-TU-PNUT,1.0
W-TW-PNUT,1.0
