sku,Level Down
NB-ALM-13OZ-1PACK, "[('NB-ALM-13OZ', 1)]"
NB-CASH-13OZ-1PACK,"[('NB-CASH-13OZ', 1)]"
NB-CHAI-13OZ-1PACK,"[('NB-CHAI-13OZ', 1)]"
NB-CSS-13OZ-1PACK,"[('NB-CSS-13OZ', 1)]"
NB-FGIN-13OZ-1PACK,"[('NB-FGIN-13OZ', 1)]"
NB-GGET-13OZ-1PACK,"[('NB-GGET-13OZ', 1)]"
NB-MAMBA-13OZ-1PACK,"[('NB-MAMBA-13OZ', 1)]"
NB-MPC-13OZ-1PACK,"[('NB-MPC-13OZ', 1)]"
NB-PNUT-13OZ-1PACK,"[('NB-PNUT-13OZ', 1)]"
NB-PPEC-13OZ-1PACK,"[('NB-PPEC-13OZ', 1)]"
NB-TCO-13OZ-1PACK,"[('NB-TCO-13OZ', 1)]"
NB-ALM-13OZ-2PACK,"[('NB-ALM-13OZ', 2)]"
NB-CASH-13OZ-2PACK,"[('NB-CASH-13OZ', 2)]"
NB-CHAI-13OZ-2PACK,"[('NB-CHAI-13OZ', 2)]"
NB-CSS-13OZ-2PACK,"[('NB-CSS-13OZ', 2)]"
NB-FGIN-13OZ-2PACK,"[('NB-FGIN-13OZ', 2)]"
NB-GGET-13OZ-2PACK,"[('NB-GGET-13OZ', 2)]"
NB-MAMBA-13OZ-2PACK,"[('NB-MAMBA-13OZ', 2)]"
NB-MPC-13OZ-2PACK,"[('NB-MPC-13OZ', 2)]"
NB-PNUT-13OZ-2PACK,"[('NB-PNUT-13OZ', 2)]"
NB-PPEC-13OZ-2PACK,"[('NB-PPEC-13OZ', 2)]"
NB-TCO-13OZ-2PACK,"[('NB-TCO-13OZ', 2)]"
NB-ALM-130Z-SAMPLE,"[('NB-ALM-13OZ', 1)]"
NB-CASH-13OZ-SAMPLE,"[('NB-CASH-13OZ', 1)]"
NB-CHAI-13OZ-SAMPLE,"[('NB-CHAI-13OZ', 1)]"
NB-CSS-13OZ-SAMPLE,"[('NB-CSS-13OZ', 1)]"
NB-FGIN-13OZ-SAMPLE,"[('NB-FGIN-13OZ', 1)]"
NB-GGET-13OZ-SAMPLE,"[('NB-GGET-13OZ', 1)]"
NB-MAMBA-13OZ-SAMPLE,"[('NB-MAMBA-13OZ', 1)]"
NB-MPC-13OZ-SAMPLE,"[('NB-MPC-13OZ', 1)]"
NB-PNUT-13OZ-SAMPLE,"[('NB-PNUT-13OZ', 1)]"
NB-PPEC-13OZ-SAMPLE,"[('NB-PPEC-13OZ', 1)]"
NB-TCO-13OZ-SAMPLE,"[('NB-TCO-13OZ', 1)]"
NB-ALM-13OZ-1PACK-GIFT,"[('NB-ALM-13OZ', 1)]"
NB-CASH-13OZ-1PACK-GIFT,"[('NB-CASH-13OZ', 1)]"
NB-CHAI-13OZ-1PACK-GIFT,"[('NB-CHAI-13OZ', 1)]"
NB-CSS-13OZ-1PACK-GIFT,"[('NB-CSS-13OZ', 1)]"
NB-FGIN-13OZ-1PACK-GIFT,"[('NB-FGIN-13OZ', 1)]"
NB-GGET-13OZ-1PACK-GIFT,"[('NB-GGET-13OZ', 1)]"
NB-MAMBA-13OZ-1PACK-GIFT,"[('NB-MAMBA-13OZ', 1)]"
NB-MPC-13OZ-1PACK-GIFT,"[('NB-MPC-13OZ', 1)]"
NB-PNUT-13OZ-1PACK-GIFT,"[('NB-PNUT-13OZ', 1)]"
NB-PPEC-13OZ-1PACK-GIFT,"[('NB-PPEC-13OZ', 1)]"
NB-TCO-13OZ-1PACK-GIFT,"[('NB-TCO-13OZ', 1)]"
NB-ALM-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 2)]"
NB-CASH-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 2)]"
NB-CHAI-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 2)]"
NB-CSS-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 2)]"
NB-FGIN-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 2)]"
NB-GGET-13OZ-2PACK-GIFT,"[('NB-GGET-13OZ', 2)]"
NB-MAMBA-13OZ-2PACK-GIFT,"[('NB-MAMBA-13OZ', 2)]"
NB-MPC-13OZ-2PACK-GIFT,"[('NB-MPC-13OZ', 2)]"
NB-PNUT-13OZ-2PACK-GIFT,"[('NB-PNUT-13OZ', 2)]"
NB-PPEC-13OZ-2PACK-GIFT,"[('NB-PPEC-13OZ', 2)]"
NB-TCO-13OZ-2PACK-GIFT,"[('NB-TCO-13OZ', 2)]"
NB-ALM-CASH-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-CASH-13OZ', 1)]"
NB-ALM-CHAI-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-CHAI-13OZ', 1)]"
NB-ALM-CSS-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-CSS-13OZ', 1)]"
NB-ALM-FGIN-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-FGIN-13OZ', 1)]"
NB-ALM-MAMBA-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-MAMBA-13OZ', 1)]"
NB-ALM-MPC-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-ALM-PNUT-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-ALM-PPEC-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-ALM-TCO-13OZ-2PACK-GIFT,"[('NB-ALM-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-CASH-CHAI-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-CHAI-13OZ', 1)]"
NB-CASH-CSS-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-CSS-13OZ', 1)]"
NB-CASH-FGIN-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-FGIN-13OZ', 1)]"
NB-CASH-MAMBA-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-MAMBA-13OZ', 1)]"
NB-CASH-MPC-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-CASH-PNUT-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-CASH-PPEC-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-CASH-TCO-13OZ-2PACK-GIFT,"[('NB-CASH-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-CHAI-CSS-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-CSS-13OZ', 1)]"
NB-CHAI-FGIN-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-FGIN-13OZ', 1)]"
NB-CHAI-MAMBA-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-MAMBA-13OZ', 1)]"
NB-CHAI-MPC-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-CHAI-PNUT-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-CHAI-PPEC-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-CHAI-TCO-13OZ-2PACK-GIFT,"[('NB-CHAI-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-CSS-FGIN-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-FGIN-13OZ', 1)]"
NB-CSS-MAMBA-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-MAMBA-13OZ', 1)]"
NB-CSS-MPC-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-CSS-PNUT-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-CSS-PPEC-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-CSS-TCO-13OZ-2PACK-GIFT,"[('NB-CSS-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-FGIN-MAMBA-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-MAMBA-13OZ', 1)]"
NB-FGIN-MPC-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-FGIN-PNUT-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-FGIN-PPEC-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-FGIN-TCO-13OZ-2PACK-GIFT,"[('NB-FGIN-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-MAMBA-MPC-130Z-2PACK-GIFT,"[('NB-MAMBA-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-MAMBA-PNUT-130Z-2PACK-GIFT,"[('NB-MAMBA-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-MAMBA-PPEC-130Z-2PACK-GIFT,"[('NB-MAMBA-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-MAMBA-TCO-130Z-2PACK-GIFT,"[('NB-MAMBA-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-MPC-PNUT-130Z-2PACK-GIFT,"[('NB-MPC-13OZ', 1), ('NB-PNUT-13OZ', 1)]"
NB-MPC-PPEC-130Z-2PACK-GIFT,"[('NB-MPC-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-MPC-TCO-130Z-2PACK-GIFT,"[('NB-MPC-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-PNUT-PPEC-130Z-2PACK-GIFT,"[('NB-PNUT-13OZ', 1), ('NB-PPEC-13OZ', 1)]"
NB-PNUT-TCO-130Z-2PACK-GIFT,"[('NB-PNUT-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-PPEC-TCO-130Z-2PACK-GIFT,"[('NB-PPEC-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-ALM-13OZ-CASE,"[('NB-ALM-13OZ', 12)]"
NB-CASH-13OZ-CASE,"[('NB-CASH-13OZ', 12)]"
NB-CHAI-13OZ-CASE,"[('NB-CHAI-13OZ', 12)]"
NB-CSS-13OZ-CASE,"[('NB-CSS-13OZ', 12)]"
NB-FGIN-13OZ-CASE,"[('NB-FGIN-13OZ', 12)]"
NB-GGET-13OZ-CASE,"[('NB-GGET-13OZ', 12)]"
NB-MAMBA-13OZ-CASE,"[('NB-MAMBA-13OZ', 12)]"
NB-MPC-13OZ-CASE,"[('NB-MPC-13OZ', 12)]"
NB-PNUT-13OZ-CASE,"[('NB-PNUT-13OZ', 12)]"
NB-PPEC-13OZ-CASE,"[('NB-PPEC-13OZ', 12)]"
NB-TCO-13OZ-CASE,"[('NB-TCO-13OZ', 12)]"
NB-VP-13OZ-CASE,"[('NB-VP-13OZ', 12)]"
NB-TRIO-FW19,"[('NB-ALM-13OZ', 1), ('NB-CHAI-13OZ', 1), ('NB-MPC-13OZ', 1)]"
NB-TRIO-SS20,"[('NB-CASH-13OZ', 1), ('NB-PNUT-13OZ', 1), ('NB-TCO-13OZ', 1)]"
NB-ALM-SUBSCR,"[('NB-ALM-13OZ', 1)]"
NB-CASH-SUBSCR,"[('NB-CASH-13OZ', 1)]"
NB-CHAI-SUBSCR,"[('NB-CHAI-13OZ', 1)]"
NB-CSS-SUBSCR,"[('NB-CSS-13OZ', 1)]"
NB-FGIN-SUBSCR,"[('NB-FGIN-13OZ', 1)]"
NB-GGET-SUBSCR,"[('NB-GGET-13OZ', 1)]"
NB-MAMBA-SUBSCR,"[('NB-MAMBA-13OZ', 1)]"
NB-MPC-SUBSCR,"[('NB-MPC-13OZ', 1)]"
NB-PNUT-SUBSCR,"[('NB-PNUT-13OZ', 1)]"
NB-PPEC-SUBSCR,"[('NB-PPEC-13OZ', 1)]"
NB-TCO-SUBSCR,"[('NB-TCO-13OZ', 1)]"
