sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units
MERCH-T-SPOONS,0,2019 BSR T-shirt - Spoons,True,1,Each,,"[{'id': 43744, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
APP-CYL-CAP-BLK,0,2019 BSR T-shirt - Spoons:Each,False,1,Each,,"[{'id': 43745, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TU-BEAR,0,2019 BSR T-shirt - Spoons:Women's Medium,False,1,Each,,"[{'id': 43746, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TW-BEAR,0,2019 BSR T-shirt - Spoons:Women's Large,False,1,Each,,"[{'id': 43747, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TW-PNUT,0,2019 BSR T-shirt - Spoons:Women's Large,False,1,Each,,"[{'id': 52091, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TU-PNUT,0,2019 BSR T-shirt - Spoons:Women's Medium,False,1,Each,,"[{'id': 52092, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-S,13.85,2019 BSR T-shirt - Spoons:Women's Small,True,1,Each,,"[{'id': 198286, 'on_hand': '9', 'available': '9', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-M,13.85,2019 BSR T-shirt - Spoons:Women's Medium,True,1,Each,,"[{'id': 198287, 'on_hand': '8', 'available': '8', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-L,13.85,2019 BSR T-shirt - Spoons:Women's Large,True,1,Each,,"[{'id': 198288, 'on_hand': '15', 'available': '15', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-XL,13.85,2019 BSR T-shirt - Spoons:Women's XL,True,1,Each,,"[{'id': 198289, 'on_hand': '9', 'available': '9', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-S,14.95,2019 BSR T-shirt - Spoons:Unisex Small,True,1,,,"[{'id': 198290, 'on_hand': '18', 'available': '18', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-M,14.95,2019 BSR T-shirt - Spoons:Unisex Medium,True,1,Each,,"[{'id': 198291, 'on_hand': '10', 'available': '9', 'committed': '1', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-L,14.95,2019 BSR T-shirt - Spoons:Unisex Large,True,1,Each,,"[{'id': 198292, 'on_hand': '11', 'available': '11', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-XL,14.95,2019 BSR T-shirt - Spoons:Unisex XL,True,1,Each,,"[{'id': 198293, 'on_hand': '8', 'available': '8', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,oz
INGREDIENTS,0,INGREDIENTS,True,1,,,"[{'id': 43748, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-VAN-10#-INACTIVE,501,INGREDIENTS:Vanilla Powder (Beanilla) - 10# case,False,1,Each,,"[{'id': 43749, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
L90D-INACTIVE,1141.45,"INGREDIENTS:Frutalose (Inulin) L90, 55 gallon drum",False,1,Each,,"[{'id': 43750, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ALM-50#-INACTIVE,172.5,"INGREDIENTS:Almond Stock, Mission Dry Roasted - 50# case",False,1,Each,,"[{'id': 43751, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
RW2160088-INACTIVE,0,"INGREDIENTS:Apricots, Turkish Whole - 28# case",False,1,Each,,"[{'id': 43752, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ASKINOSIE-MOR-INACTIVE,25,"INGREDIENTS:Chocolate, Askinosie Morsels - by the Kg",False,1,Each,,"[{'id': 43753, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
272230-INACTIVE,0,"INGREDIENTS:Cashew Stock, 25#",False,1,Each,,"[{'id': 43754, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-CHAI-NOSUGAR-INACTIVE,14.24,"INGREDIENTS:Chai Spice Mix - No Sugar, by the LB",False,1,Each,,"[{'id': 43755, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
23450-INACTIVE,44.75,"INGREDIENTS:Vietnamese Cinnamon, 25# bag",False,1,Each,,"[{'id': 43756, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
3109-INACTIVE,112.25,"INGREDIENTS:Org Coconut Chips, Unsweetened - 25lbs",False,1,Each,,"[{'id': 43757, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
CRYSTALS-INACTIVE,134.19,"INGREDIENTS:Sugar, A4-15 Coconut Crystals - 27.5# bag",False,1,Each,,"[{'id': 43758, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
990042-INACTIVE,17.09,"INGREDIENTS:Oil, Organic Coconut - 2# Jar",False,1,Each,,"[{'id': 43759, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
RW5100178-INACTIVE,57,"INGREDIENTS:Sweetened Dried Tart Cherries, 10# case",False,1,Each,,"[{'id': 43760, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ESP-TIGER-5LB-INACTIVE,51.75,INGREDIENTS:Equator Coffees Tigerwalk Espresso - 5LB Bag,False,1,Each,,"[{'id': 43761, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
20144-INACTIVE,186.85,"INGREDIENTS:Crystallized FIJI Ginger Mini Chips, 25.4# case",False,1,Each,,"[{'id': 43762, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
250220-INACTIVE,24.77,"INGREDIENTS:Oil, Grapeseed (5 liter bottle)",False,1,Each,,"[{'id': 43763, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
017463-20-US-INACTIVE,0,"INGREDIENTS:Green Tea Extract, GT Fort 101 C IP",False,1,Each,,"[{'id': 43764, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
RST DCD 25LB-INACTIVE,156.25,"INGREDIENTS:Roasted Diced Hazelnuts, 25#",False,1,Each,,"[{'id': 43765, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
6150-INACTIVE,0,"INGREDIENTS:Honey, Local Wildflower - 60#",False,1,Each,,"[{'id': 43766, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
OHDHON(5gal)-INACTIVE,0,"INGREDIENTS:Honey, Oregon High Desert - 5 gallon",False,1,Each,,"[{'id': 43767, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
KOSH##-INACTIVE,4.92,"INGREDIENTS:Salt, Jacobsen Kosher Bulk - by the LB",False,1,Each,,"[{'id': 43768, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
92040-INACTIVE,282.36,"INGREDIENTS:Sugar, Pure Standard Maple - 40# Box",False,1,Each,,"[{'id': 43769, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-NIBS-INACTIVE,9.75,"INGREDIENTS:Cocoa Nibs, 1#",False,1,Each,,"[{'id': 43770, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
181237-INACTIVE,47.91,"INGREDIENTS:Oats, Old Fashioned GF - 25#",False,1,Each,,"[{'id': 43771, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
35009-INACTIVE,0,"INGREDIENTS:Oats, 50# Bag",False,1,Each,,"[{'id': 43772, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
QUINOAFLK25#B-O-INACTIVE,104,"INGREDIENTS:Quinoa Flake, Organic RTE - 50# Bag",False,1,Each,,"[{'id': 43773, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
272250-INACTIVE,0,"INGREDIENTS:Natural PB Stock - Olde Tyme, 30#",False,1,Each,,"[{'id': 43774, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
2191-INACTIVE,207,"INGREDIENTS:Pecan Pieces, Fancy XL Org - 30# case",False,1,Each,,"[{'id': 43775, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
PUMPKINSEED-INACTIVE,3.3,"INGREDIENTS:Pumpkin Seeds, Roasted - by the LB",False,1,Each,,"[{'id': 43776, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
5171786-INACTIVE,142.95,"INGREDIENTS:Quinoa Crisps, Organic - 25# case",False,1,Each,,"[{'id': 43777, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
NSSU155-INACTIVE,47.91,"INGREDIENTS:Sugar, Raw Demerara - 25# bag",False,1,Each,,"[{'id': 43778, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
35152-INACTIVE,0,"INGREDIENTS:Salt, Fine Sea Sicily Trapani 25kgs",False,1,Each,,"[{'id': 43779, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
SORGHUM-INACTIVE,133,INGREDIENTS:Sorghum Syrup - 5 Gallon,False,1,Each,,"[{'id': 43780, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
TAZACAFE-INACTIVE,55,INGREDIENTS:Taza (Cafe Blend) - 5# Bag,False,1,Each,,"[{'id': 43781, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
TAZAPURO-INACTIVE,50,INGREDIENTS:Taza (Puro Blend) - 5# Bag,False,1,Each,,"[{'id': 43782, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
BW416P804,0,INGREDIENTS:Bovine - rBGH Free - 20kg,False,1,Each,,"[{'id': 43783, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
PURIS870H-INACTIVE,171.96,INGREDIENTS:Pea Protein (Puris) - 20Kg Bag,False,1,Each,,"[{'id': 46874, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
#560-INACTIVE,62.5,"INGREDIENTS:Cranberries, Dried Sweetened - 25# case",False,1,Each,,"[{'id': 47570, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
#070-INACTIVE,41.89,"INGREDIENTS:Figs, Diced - 10Kg Box",False,1,Each,,"[{'id': 47571, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
SJD1706-INACTIVE,7.54,"INGREDIENTS:Ancho Chile Powder, by the LB",False,1,Each,,"[{'id': 48501, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb
SJD2906-INACTIVE,59.1,"INGREDIENTS:Guajillo Chile Powder, 10#",False,1,Each,,"[{'id': 48502, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb
SJD0804-INACTIVE,22.1,"INGREDIENTS:Habanero Powder, 1#",False,1,Each,,"[{'id': 48503, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb
I-ORG-PNUTS-30#-INACTIVE,58.5,"INGREDIENTS:Peanut Splits, Org Roasted - 30# case",False,1,Each,,"[{'id': 52149, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
RW2550071-INACTIVE,42,"INGREDIENTS:Apricots, Unsulphured Diced - 28# case",False,1,Each,,"[{'id': 54038, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
23012-INACTIVE,156,"INGREDIENTS:Organic Honey, 60#",False,1,,,"[{'id': 56321, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-TEST-ING,0,INGREDIENTS:I-TEST-ING,False,1,Each,,"[{'id': 62611, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ESP-GGET-5lb-INACTIVE,43.25,INGREDIENTS:GGET Espresso - 5LB Bag,False,1,,,"[{'id': 63795, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ORG-CASHEW-INACTIVE,4.4,"INGREDIENTS:Org Cashew Stock, by the LB",False,1,,,"[{'id': 65609, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-DRIED-GHOST-1OZ-INACTIVE,0,INGREDIENTS:I-DRIED-GHOST-1OZ,False,1,,,"[{'id': 195693, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.06,lb
I-DRIED-HABANERO-1OZ-INACTIVE,0,INGREDIENTS:I-DRIED-HABANERO-1OZ,False,1,,,"[{'id': 195694, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.06,lb
I-CAROLINA-REAPER-1OZ-INACTIVE,0,INGREDIENTS:I-DRIED-CAROLINA-REAPER-1OZ,False,1,,,"[{'id': 195697, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.06,lb
345037P-INACTIVE,0,"INGREDIENTS:Chocolate, TCHO 81%, Extra Dark",False,1,,,"[{'id': 196517, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,lb
I-GRANOLA-INACTIVE,0,INGREDIENTS:Granola,False,1,,,"[{'id': 197362, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb
OTHER PRODUCTS/SERVICES-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE,False,1,,,"[{'id': 43784, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
S-13166-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Best By Sticker, 20M/BX",False,1,Each,,"[{'id': 43785, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
AP-12PK-BOX,0,OTHER PRODUCTS/SERVICES-INACTIVE:Box - Cherry Pecan 12pk,False,1,Each,,"[{'id': 43786, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
44W64L-INACTIVE,0.69,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk Half Gallon Lid,False,1,Each,,"[{'id': 43787, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
44W64W-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk Hald Gallon Pail,False,1,Each,,"[{'id': 43788, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
PL09W-INACTIVE,0.37,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 1 Gallon Lid,False,1,Each,,"[{'id': 43789, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
P009-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 1 Gallon Pail,False,1,Each,,"[{'id': 43790, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
PL58W-INACTIVE,1.65,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 5 Gallon Lid,False,1,Each,,"[{'id': 43791, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
5GALPAIL-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 5 Gallon Pail,False,1,Each,,"[{'id': 43792, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
BULK-Label-Sequential Number-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Bulk Sequential Number,False,1,Each,,"[{'id': 43793, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
203495A,0,OTHER PRODUCTS/SERVICES-INACTIVE:Box - Cherry Pecan 12-Pack,False,1,Each,,"[{'id': 43794, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
1012-300-001-100,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Foil Pouch,False,1,Each,,"[{'id': 43795, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
L-FRENCH-BAR-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - French Ingredient, Bar",False,1,Each,,"[{'id': 43796, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
L-FRENCH-JAR-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - French Ingredient, Butter",False,1,Each,,"[{'id': 43797, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
JAR-4OZ-INACTIVE,0.21,OTHER PRODUCTS/SERVICES-INACTIVE:Jar - 4oz with Lid,False,1,Each,,"[{'id': 43798, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
G10-70-450BIGSPOON01-28-INACTIVE,0.27,OTHER PRODUCTS/SERVICES-INACTIVE:Jar - Custom 10oz,False,1,Each,,"[{'id': 43799, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT142989CF-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Jacobson Peanut Hazelnut,False,1,Each,,"[{'id': 43800, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT142983CF,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Jacobson Peanut,False,1,Each,,"[{'id': 43801, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
